✓ cadt_chi: 10698 bits, score: 0.031
✓ cadt_ctr: 10653 bits, score: 0.018
✓ cadt_des: 10670 bits, score: 0.064
✓ cadt_eql: 10698 bits, score: 0.047
✓ cadt_fol: 10653 bits, score: 0.012
✓ cadt_idx: 10670 bits, score: 0.008
✓ cadt_len: 10670 bits, score: 0.006
✓ cadt_mrg: 10710 bits, score: 0.075
✓ cadt_rev: 10687 bits, score: 0.010
✓ cadt_ser: 10670 bits, score: 0.023
✓ cbin_add: 10686 bits, score: 0.026
✓ cbin_div: 10686 bits, score: 0.038
✓ cbin_exp: 10686 bits, score: 0.022
✓ cbin_gcd: 10686 bits, score: 0.036
✓ cbin_log: 10686 bits, score: 0.039
✓ cbin_mod: 10686 bits, score: 0.037
✓ cbin_mul: 10686 bits, score: 0.018
✓ cbin_pri: 10737 bits, score: 0.023
✓ cbin_sqr: 10667 bits, score: 0.032
✓ cbin_tot: 10746 bits, score: 0.041
✓ clst_dot: 10716 bits, score: 0.014
✓ clst_fol: 10673 bits, score: 0.001
✓ clst_hed: 10656 bits, score: 0.001
✓ clst_map: 10675 bits, score: 0.002
✓ clst_nth: 10675 bits, score: 0.005
✓ clst_rev: 10667 bits, score: 0.003
✓ clst_shl: 10667 bits, score: 0.012
✓ clst_shr: 10667 bits, score: 0.009
✓ clst_srt: 10667 bits, score: 0.005
✓ clst_zip: 10695 bits, score: 0.008
✓ cnat_add: 10686 bits, score: 0.002
✓ cnat_div: 10686 bits, score: 0.012
✓ cnat_exp: 10686 bits, score: 0.002
✓ cnat_gcd: 10686 bits, score: 0.014
✓ cnat_log: 10686 bits, score: 0.017
✓ cnat_mod: 10686 bits, score: 0.011
✓ cnat_mul: 10686 bits, score: 0.001
✓ cnat_pri: 10737 bits, score: 0.029
✓ cnat_sqr: 10667 bits, score: 0.014
✓ cnat_tot: 10746 bits, score: 0.020
✓ ctre_bfs: 10656 bits, score: 0.012
✓ ctre_idx: 10675 bits, score: 0.012
✓ ctre_inv: 10667 bits, score: 0.017
✓ ctre_lst: 10667 bits, score: 0.003
✓ ctre_mrg: 10695 bits, score: 0.011
✓ ctre_rev: 10667 bits, score: 0.001
✓ ctre_rtl: 10689 bits, score: 0.009
✓ ctre_rtr: 10689 bits, score: 0.008
✓ ctre_scn: 10684 bits, score: 0.009
✓ ntup_dot: 10760 bits, score: 0.008
✓ ntup_fol: 10694 bits, score: 0.006
✓ ntup_hed: 10675 bits, score: 0.003
✓ ntup_map: 10695 bits, score: 0.003
✓ ntup_nth: 10695 bits, score: 0.006
✓ ntup_rev: 10686 bits, score: 0.003
✓ ntup_shl: 10686 bits, score: 0.004
✓ ntup_shr: 10686 bits, score: 0.011
✓ ntup_srt: 10686 bits, score: 0.012
✓ ntup_zip: 10735 bits, score: 0.017
✓ sadt_chi: 10653 bits, score: 0.009
✓ sadt_ctr: 10653 bits, score: 0.016
✓ sadt_des: 10653 bits, score: 0.047
✓ sadt_eql: 10662 bits, score: 0.019
✓ sadt_fol: 10653 bits, score: 0.027
✓ sadt_idx: 10653 bits, score: 0.008
✓ sadt_len: 10653 bits, score: 0.011
✓ sadt_mrg: 10672 bits, score: 0.055
✓ sadt_rev: 10653 bits, score: 0.025
✓ sadt_ser: 10653 bits, score: 0.033
✓ sbin_add: 10686 bits, score: 0.013
✓ sbin_div: 10686 bits, score: 0.027
✓ sbin_exp: 10686 bits, score: 0.025
✓ sbin_gcd: 10686 bits, score: 0.025
✓ sbin_log: 10686 bits, score: 0.047
✓ sbin_mod: 10686 bits, score: 0.030
✓ sbin_mul: 10686 bits, score: 0.019
✓ sbin_pri: 10737 bits, score: 0.027
✓ sbin_sqr: 10667 bits, score: 0.028
✓ sbin_tot: 10746 bits, score: 0.038
✓ slst_dot: 10694 bits, score: 0.006
✓ slst_fol: 10662 bits, score: 0.003
✓ slst_hed: 10645 bits, score: 0.001
✓ slst_map: 10653 bits, score: 0.003
✓ slst_nth: 10653 bits, score: 0.002
✓ slst_rev: 10645 bits, score: 0.004
✓ slst_shl: 10645 bits, score: 0.005
✓ slst_shr: 10645 bits, score: 0.008
✓ slst_srt: 10645 bits, score: 0.008
✓ slst_zip: 10662 bits, score: 0.006
✓ snat_add: 10653 bits, score: 0.002
✓ snat_div: 10653 bits, score: 0.012
✓ snat_exp: 10653 bits, score: 0.007
✓ snat_gcd: 10653 bits, score: 0.010
✓ snat_log: 10653 bits, score: 0.013
✓ snat_mod: 10653 bits, score: 0.008
✓ snat_mul: 10653 bits, score: 0.004
✓ snat_pri: 10693 bits, score: 0.019
✓ snat_sqr: 10645 bits, score: 0.013
✓ snat_tot: 10713 bits, score: 0.022
✓ stre_bfs: 10645 bits, score: 0.014
✓ stre_idx: 10653 bits, score: 0.011
✓ stre_inv: 10645 bits, score: 0.010
✓ stre_lst: 10645 bits, score: 0.004
✓ stre_mrg: 10662 bits, score: 0.008
✓ stre_rev: 10645 bits, score: 0.003
✓ stre_rtl: 10667 bits, score: 0.011
✓ stre_rtr: 10667 bits, score: 0.007
✓ stre_scn: 10662 bits, score: 0.010

108/120 passed
score: 1.4
