✓ cbin_add: 4285 bits, score: 0.066
✓ cbin_div: 4285 bits, score: 0.095
✓ cbin_exp: 4285 bits, score: 0.055
✓ cbin_gcd: 4285 bits, score: 0.090
✓ cbin_log: 4285 bits, score: 0.098
✓ cbin_mod: 4285 bits, score: 0.093
✓ cbin_mul: 4285 bits, score: 0.044
✓ cbin_pri: 4336 bits, score: 0.058
✓ cbin_sqr: 4266 bits, score: 0.080
✓ cbin_tot: 4345 bits, score: 0.102
✓ clst_dot: 3350 bits, score: 0.045
✓ clst_fol: 3309 bits, score: 0.004
✓ clst_hed: 3292 bits, score: 0.003
✓ clst_map: 3310 bits, score: 0.005
✓ clst_nth: 3310 bits, score: 0.015
✓ clst_rev: 3302 bits, score: 0.008
✓ clst_shl: 3302 bits, score: 0.039
✓ clst_shr: 3302 bits, score: 0.029
✓ clst_srt: 3302 bits, score: 0.015
✓ clst_zip: 3329 bits, score: 0.024
✓ cnat_add: 2013 bits, score: 0.010
✓ cnat_div: 2013 bits, score: 0.062
✓ cnat_exp: 2013 bits, score: 0.008
✓ cnat_gcd: 2013 bits, score: 0.074
✓ cnat_log: 2013 bits, score: 0.088
✓ cnat_mod: 2013 bits, score: 0.056
✓ cnat_mul: 2013 bits, score: 0.006
✓ cnat_pri: 2060 bits, score: 0.152
✓ cnat_sqr: 1995 bits, score: 0.074
✓ cnat_tot: 2068 bits, score: 0.105
✓ ntup_dot: 3392 bits, score: 0.024
✓ ntup_fol: 3329 bits, score: 0.021
✓ ntup_hed: 3310 bits, score: 0.009
✓ ntup_map: 3329 bits, score: 0.010
✓ ntup_nth: 3329 bits, score: 0.019
✓ ntup_rev: 3320 bits, score: 0.009
✓ ntup_shl: 3320 bits, score: 0.014
✓ ntup_shr: 3320 bits, score: 0.036
✓ ntup_srt: 3320 bits, score: 0.040
✓ ntup_zip: 3367 bits, score: 0.053
✓ sbin_add: 4285 bits, score: 0.032
✓ sbin_div: 4285 bits, score: 0.066
✓ sbin_exp: 4285 bits, score: 0.063
✓ sbin_gcd: 4285 bits, score: 0.062
✓ sbin_log: 4285 bits, score: 0.117
✓ sbin_mod: 4285 bits, score: 0.074
✓ sbin_mul: 4285 bits, score: 0.048
✓ sbin_pri: 4336 bits, score: 0.067
✓ sbin_sqr: 4266 bits, score: 0.071
✓ sbin_tot: 4345 bits, score: 0.094
✓ slst_dot: 3330 bits, score: 0.021
✓ slst_fol: 3299 bits, score: 0.010
✓ slst_hed: 3282 bits, score: 0.004
✓ slst_map: 3290 bits, score: 0.011
✓ slst_nth: 3290 bits, score: 0.008
✓ slst_rev: 3282 bits, score: 0.012
✓ slst_shl: 3282 bits, score: 0.017
✓ slst_shr: 3282 bits, score: 0.025
✓ slst_srt: 3282 bits, score: 0.027
✓ slst_zip: 3299 bits, score: 0.018
✓ snat_add: 1983 bits, score: 0.012
✓ snat_div: 1983 bits, score: 0.062
✓ snat_exp: 1983 bits, score: 0.040
✓ snat_gcd: 1983 bits, score: 0.052
✓ snat_log: 1983 bits, score: 0.069
✓ snat_mod: 1983 bits, score: 0.042
✓ snat_mul: 1983 bits, score: 0.024
✓ snat_pri: 2020 bits, score: 0.103
✓ snat_sqr: 1975 bits, score: 0.071
✓ snat_tot: 2038 bits, score: 0.115

70/120 passed
score: 2.7
